80806, BUTTER NAAN, KADAI PANEER, CHE SANDWICH, CHE SANDWICH,
86497, PEPSI MIX, COKE MIX,
82078, ALOO PARATHA, MY CAN,
83442, ALOO PARATHA, MY CAN,
93429, ALOO PARATHA, PEPSI MIX,
94885, FRIED MAGGI, COKE MIX,
98000, GOODAY@10, LITTLE HEARTS,
108333, FRUIT SHAKE, ALOO PARATHA,
112299, FRUIT SHAKE, PANEER FRANKY,
114238, BUTTER NAAN, BUTTER CHICKEN,
81874, GOODAY@20, FRUIT SHAKE, ALOO PARATHA,
98053, MIX UTTAPAM, FRUIT SHAKE,
110466, JAM TREAT, COKE MIX,
114963, LAYS / BINGO, PULPY ORANGE, KAJU SHAKE, WAFFY,
114307, PULPY ORANGE, ALOO PARATHA,
78002, CHI.PAKODA, PEPSI MIX,
79071, CHI.RICE, FRUIT SHAKE,
80989, CHI.RICE, FRUIT SHAKE, PEPSI MIX,
82446, CHI.PAKODA, FRUIT SHAKE,
86302, CHI.RICE, LAYS / BINGO, BOURBON, LITTLE HEARTS, FRUIT SHAKE,
87871, LAYS / BINGO, PULPY ORANGE,
112009, CHI.RICE, FRUIT SHAKE,
113962, CHI.PAKODA, PULPY ORANGE,
115037, FRUIT SHAKE, ALOO PARATHA,
115046, FRUIT SHAKE, ALOO PARATHA,
75593, ALOO PARATHA, ICE,
82929, GOODAY@20, BOURBON,
85888, GOODAY@20, ALOO PARATHA,
92345, ALOO PARATHA, CHE BURGER,
101651, PASTRY, ALOO PARATHA,
77440, CHILLI PANEER, CHILLI CHICKEN,
77573, D.MILK, FRUIT SHAKE,
82098, CHILLI PANEER, CHILLI CHICKEN,
82299, LAYS / BINGO, FRUIT SHAKE,
83535, CHILLI PANEER, CHILLI CHICKEN,
85533, BUTTER NAAN, KADAI PANEER,
85537, VEG PASTA, LAYS / BINGO,
85617, FRUIT SHAKE, ICECREAMSHAKE,
96038, BUTTER NAAN, BUTTER CHICKEN, CHILLI CHICKEN, YAMAMA, COKE MIX,
96248, ICECREAMSHAKE, WAFFY,
105118, BUTTER NAAN, BUTTER CHICKEN,
106388, VEG PATTY, LAYS / BINGO, FRUIT SHAKE,
107500, CHILLI PANEER, ALOO PARATHA,
74820, ALOO PARATHA, BUTTER,
77049, FRUIT SHAKE, ALOO PARATHA, BUTTER,
80933, CHILLI CHICKEN, FRUIT SHAKE,
86712, CHILLI CHICKEN, COKE MIX,
87698, FRUIT SHAKE, ALOO PARATHA, BUTTER,
88906, FRUIT SHAKE, CHE SANDWICH,
91316, LAYS / BINGO, FRUIT SHAKE,
100869, FRUIT SHAKE, ALOO PARATHA, BUTTER,
102112, CHILLI CHICKEN, FRUIT SHAKE,
113371, FRUIT SHAKE, ALOO PARATHA, BUTTER,
114003, FRUIT SHAKE, CHE SANDWICH,
89598, BUTTER NAAN, KADAI PANEER,
97415, VEG PATTY, FRUIT SHAKE,
98579, EGG RICE, CHI.TANDURY 1/2, FRUIT SHAKE,
98633, CHE SANDWICH, COKE MIX,
98638, PLAIN DOSA, EGG RICE, FRUIT SHAKE, CHE SANDWICH,
100093, BUTTER NAAN, KADAI PANEER,
110381, BUTTER NAAN, KADAI PANEER,
115660, ICECREAMSHAKE, ALOO PARATHA, CHE SANDWICH,
75586, ALOO PARATHA, SLICE,
80058, GOODAY@20, ALOO PARATHA,
87312, GOODAY@20, CHE SANDWICH,
75562, MY CAN, CHE SANDWICH,
77912, PEPSI MIX, CHE SANDWICH,
78852, FRUIT SHAKE, FRUIT SHAKE,
78999, CHOCO PIE, COKE MIX,
83740, MY CAN, CHE SANDWICH,
90341, MY CAN, CHE SANDWICH,
75713, ALOO PARATHA, AMUL KOOL@22,
78008, YAMAMA, YAMAMA,
82276, OREO@30, MY CAN,
87258, FRUIT SHAKE, ALOO PARATHA, CHE SANDWICH,
95020, ICECREAMSHAKE, ALOO PARATHA,
107027, REAL JUICE, CHE SANDWICH,
109060, FRUIT SHAKE, ALOO PARATHA,
109083, LAYS / BINGO, OREO@30, CURD,
109663, BUTTER NAAN, BUTTER NAAN, CHILLI CHICKEN, PULPY NIMBU,
110532, BUTTER NAAN, CHILLI CHICKEN,
111435, LAYS / BINGO, COKE CAN, CURD,
97418, FRUIT SHAKE, WAFFY,
115898, CHILLI CHICKEN, YAMAMA,
116007, BUTTER NAAN, CHILLI CHICKEN,
100173, BUTTER NAAN, KADAI PANEER,
101729, VEG PATTY, ALOO PARATHA,
106352, VEG PATTY, ALOO PARATHA,
86672, LAYS / BINGO, BOURBON, COKE CAN,
89765, COKE CAN, ALOO PARATHA,
90770, FRUIT SHAKE, ALOO PARATHA,
97361, ALOO PARATHA, MATKA KULFI, BUTTER,
100711, LAYS / BINGO, BRT CAKES,
78063, VEG PATTY, YAMAMA,
85846, VEG RICE, COKE CAN,
87873, BOURBON, LITTLE HEARTS, FRUIT SHAKE,
88885, FIVE STAR@20, FRUIT SHAKE,
88897, BUTTER NAAN, CHILLI CHICKEN, COKE MIX,
88903, FRUIT SHAKE, ICE, CHE SANDWICH,
88907, BUTTER NAAN, CHILLI CHICKEN, FRUIT SHAKE,
88929, BUTTER NAAN, FRUIT SHAKE,
89020, CHILLI PANEER, ICE,
89056, BUTTER NAAN, PEPSI MIX,
95751, BUTTER NAAN, CHILLI CHICKEN, MY CAN,
113273, LAYS / BINGO, COKE MIX,
112053, PLAIN MAGGI, FRUIT SHAKE, FRUIT SHAKE, CHE SANDWICH, PANEER FRANKY,
112056, PULPY ORANGE, ICECREAMSHAKE, COKE MIX,
115662, PLAIN MAGGI, FRUIT SHAKE, ICECREAMSHAKE, IDLY SAMBHAR, CHE SANDWICH,
115669, PULPY ORANGE, ICECREAMSHAKE, CHE SANDWICH,
115672, FRUIT SHAKE, CHE SANDWICH,
115681, ICECREAMSHAKE, FRIED IDLY,
115744, ICECREAMSHAKE, ICE, CHE SANDWICH,
81322, VEG PATTY, COKE CAN,
81557, DAIRY MILK, MATKA KULFI,
84464, LAYS / BINGO, OREO@30,
76947, ICECREAMSHAKE, CHE SANDWICH,
106460, BUTTER NAAN, CHILLI CHICKEN, ALOO PARATHA,
76378, FRUIT SHAKE, MATKA KULFI,
77036, EGG RICE, CHE SANDWICH,
80179, EGG RICE, CHE BURGER,
81577, FRUIT SHAKE, CHE SANDWICH,
83614, CHE SANDWICH, PANEER FRANKY,
84984, MASALA DOSA, FRUIT SHAKE,
84987, FRUIT SHAKE, ICECREAMSHAKE,
85013, PEPSI MIX, MATKA KULFI,
90454, EGG RICE, FRUIT SHAKE, ALOO PARATHA, FRIED IDLY, CHE SANDWICH,
112747, PULPY ORANGE, WAFFY,
115560, CHE SANDWICH, WAFFY,
92031, PLAIN MAGGI, FRUIT SHAKE,
94344, FRUIT SHAKE, ALOO PARATHA,
81128, GOODAY@20, PULPY ORANGE,
82970, FRUIT SHAKE, ALOO PARATHA,
87262, LAYS / BINGO, JAM TREAT,
103588, LAYS / BINGO, FRUIT SHAKE,
104248, PULPY ORANGE, CHE BURGER,
110976, FRUIT SHAKE, ALOO PARATHA,
112972, LAYS / BINGO, BOURBON,
80513, LAYS / BINGO, BRT CAKES,
87117, FIVE STAR@20, FRUIT SHAKE,
88797, GOODAY@20, LITTLE HEARTS, SLICE,
90768, FIVE STAR@20, FRUIT SHAKE, ICECREAMSHAKE,
95499, VEG PATTY, MY CAN,
76209, FRUIT SHAKE, WAFFY,
76251, PULPY ORANGE, FRUIT SHAKE, MAKHANIA LASSI,
77511, FRUIT SHAKE, ALOO PARATHA,
77563, ALOO PARATHA, COKE MIX,
81076, BOURBON, FRUIT SHAKE, ALOO PARATHA, WAFFY,
82796, PLAIN MAGGI, PLAIN MAGGI,
82804, COKE CAN, PEPSI MIX, CHE SANDWICH, CHE SANDWICH, COKE MIX,
82805, FRUIT SHAKE, MY CAN,
93178, OREO@15, BOURBON, COKE CAN,
105293, LAYS / BINGO, BOURBON,
80239, ICECREAMSHAKE, PANEER FRANKY,
81366, FRUIT SHAKE, ICE,
84707, VEG PATTY, MY CAN,
87008, FRUIT SHAKE, ICECREAMSHAKE,
89241, ICECREAMSHAKE, MY CAN,
93655, VEG PATTY, MY CAN,
109573, LAYS / BINGO, COKE CAN,
113007, PLAIN MAGGI, COKE CAN,
75258, MASALA DOSA, FRUIT SHAKE,
106803, PLAIN MAGGI, FRIED MAGGI, FRIED MAGGI, FIVE STAR@20, PANEER FRANKY,
106845, ICECREAMSHAKE, PANEER FRANKY,
81440, PLAIN MAGGI, EGG RICE, LAYS / BINGO,
87885, LAYS / BINGO, LITTLE HEARTS,
90098, BUTTER NAAN, KADAI PANEER,
105274, EGG RICE, LAYS / BINGO, PANEER FRANKY,
110222, EGG RICE, LAYS / BINGO,
81068, LITTLE HEARTS, CHE SANDWICH,
97641, VEG PATTY, PULPY ORANGE, CHE BURGER,
98983, CHI.TANDURY 1/2, BUTTER NAAN, BUTTER CHICKEN, CHE SANDWICH,
101141, PULPY ORANGE, ALOO PARATHA, BUTTER,
103082, FRUIT SHAKE, CHE SANDWICH,
103083, IDLY SAMBHAR, SAMBHAR VADA,
74741, ALOO PARATHA, AMUL KOOL@22,
111647, ALOO PARATHA, PANEER FRANKY,
114258, LITTLE HEARTS, FRUIT SHAKE,
92137, FRUIT SHAKE, SLICE,
101202, CHILLI PANEER, FRUIT SHAKE,
103875, CHE BURGER, PANEER FRANKY,
103876, ALOO PARATHA, CHE BURGER, COKE MIX,
104420, PULPY ORANGE, KAJU SHAKE,
106613, ICECREAMSHAKE, COKE MIX,
107131, PULPY ORANGE, PULPY ORANGE,
107607, LAYS / BINGO, LITTLE HEARTS, DAIRY MILK, COKE MIX,
107874, MASALA DOSA, CHILLI PANEER,
107877, PLAIN MAGGI, VEG PASTA, ALOO PARATHA, ALOO PARATHA,
107878, CHILLI PANEER, FRUIT SHAKE,
107883, BOURBON, FRUIT SHAKE, COKE MIX,
112094, ALOO PARATHA, CHE SANDWICH,
112222, D.MILK, COKE MIX,
115000, VEG PATTY, FRUIT SHAKE,
115011, FRUIT SHAKE, COKE MIX,
115075, ALOO PARATHA, CHE SANDWICH, COKE MIX,
115160, PLAIN MAGGI, BUTTER NAAN, KADAI PANEER, FIVE STAR@25, COKE MIX,
76817, KAJU SHAKE, CHE SANDWICH,
104771, ALOO PARATHA, COKE MIX, PANEER FRANKY,
111717, JAM TREAT, CHE SANDWICH,
81051, PLAIN MAGGI, CHE SANDWICH,
103579, FRUIT SHAKE, ALOO PARATHA,
106298, PLAIN MAGGI, LAYS / BINGO,
79556, FRUIT SHAKE, CHOCO PIE,
83208, FRUIT SHAKE, YAMAMA,
95519, FRUIT SHAKE, CAPRI SUN,
97758, BUTTER NAAN, ICECREAMSHAKE,
98685, BUTTER NAAN, BUTTER CHICKEN,
104935, CHOCO PIE, YAMAMA,
110378, REAL JUICE, PANEER FRANKY,
111640, BUTTER NAAN, BUTTER CHICKEN,
114996, FRUIT SHAKE, ALOO PARATHA,
114997, FRUIT SHAKE, ALOO PARATHA,
88686, CHI.RICE, CHE SANDWICH,
96026, REAL JUICE, CHE SANDWICH,
99810, VEG PATTY, PASTRY,
100408, BUTTER NAAN, KADAI PANEER, BUTTER CHICKEN,
76671, BUTTER NAAN, CHILLI CHICKEN,
87780, VEG PATTY, PULPY ORANGE,
90996, PLAIN MAGGI, COKE MIX,
92056, REAL JUICE, CHE BURGER,
99237, PULPY ORANGE, FRUIT SHAKE, CHE SANDWICH, COKE MIX, CAPRI SUN,
102613, BUTTER NAAN, KADAI PANEER,
77272, LAYS / BINGO, COKE MIX,
80590, VEG PASTA, COKE MIX,
83646, ALOO PARATHA, COKE MIX,
85772, ALOO PARATHA, COKE MIX,
87673, ALOO PARATHA, COKE MIX,
91278, ALOO PARATHA, COKE MIX,
94969, ALOO PARATHA, COKE MIX,
101154, ALOO PARATHA, COKE MIX,
109688, LAYS / BINGO, COKE MIX,
110468, CHE BURGER, COKE MIX,
81471, VEG RICE, BUTTER NAAN, KADAI PANEER, LAYS / BINGO,
92952, VEG PATTY, PLAIN MAGGI,
96531, ALOO PARATHA, CURD, MATKA KULFI,
96595, VEG RICE, MY CAN,
100935, EGG RICE, IDLY SAMBHAR, SAMBHAR VADA,
101027, PULPY ORANGE, COKE MIX,
78073, VEG PATTY, GOODAY@20, BOURBON, YAMAMA,
82321, PLAIN MAGGI, PEPSI MIX,
84303, CHE SANDWICH, COKE MIX,
97071, LAYS / BINGO, COKE MIX,
103006, CHE SANDWICH, COKE MIX,
105580, ALOO PARATHA, ICE,
109659, LAYS / BINGO, BOURBON, ALOO PARATHA,
105387, FRUIT SHAKE, COKE MIX,
107592, ALOO PARATHA, BUTTER,
107598, PULPY ORANGE, WAFFY,
108417, LAYS / BINGO, KAJU SHAKE,
109622, LAYS / BINGO, COKE MIX,
111825, ALOO PARATHA, PANEER FRANKY,
75454, PULPY ORANGE, CHE SANDWICH,
106620, ALOO PARATHA, COKE MIX,
76328, CHI.RICE, BOURBON, PEPSI MIX,
77212, GOODAY@20, WAFFY,
79562, LAYS / BINGO, FRUIT SHAKE,
79569, GOODAY@20, WAFFY,
83759, PLAIN MAGGI, CHE SANDWICH,
83824, KAJU SHAKE, BRT CAKES,
86775, CHE SANDWICH, VENDING TOKEN,
88727, PLAIN MAGGI, CHE SANDWICH,
88810, BOURBON, WAFFY,
89938, LAYS / BINGO, ALOO PARATHA,
90086, LAYS / BINGO, OREO@15,
104886, LAYS / BINGO, FRUIT SHAKE, CHOCO PIE, DARK FANTASY,
105931, CHE SANDWICH, PANEER FRANKY,
105981, FIVE STAR@20, DARK FANTASY,
106964, BUTTER NAAN, BUTTER CHICKEN,
108632, BUTTER NAAN, CHILLI CHICKEN,
109510, LAYS / BINGO, CHE SANDWICH,
109522, LAYS / BINGO, WAFFY,
109960, LAYS / BINGO, CHE BURGER,
111320, LAYS / BINGO, PANEER FRANKY,
115912, LAYS / BINGO, DARK FANTASY, CHE SANDWICH,
101840, BUTTER NAAN, CHILLI PANEER,
75828, VEG PASTA, MAKHANIA LASSI,
79061, FRUIT SHAKE, ALOO PARATHA,
82427, FRUIT SHAKE, ALOO PARATHA,
86765, FRUIT SHAKE, ALOO PARATHA,
88688, FRUIT SHAKE, ALOO PARATHA,
96933, FRIED MAGGI, CHE SANDWICH,
97865, COKE CAN, CHE BURGER,
99808, VEG PATTY, PASTRY,
101787, FRUIT SHAKE, ALOO PARATHA,
76814, ICECREAMSHAKE, CHE SANDWICH,
85056, LAYS / BINGO, PULPY ORANGE, ICECREAMSHAKE,
87898, LAYS / BINGO, ALOO PARATHA,
90109, ICECREAMSHAKE, ALOO PARATHA,
111818, PLAIN MAGGI, ICECREAMSHAKE,
76905, PULPY ORANGE, CHE SANDWICH,
81839, PULPY ORANGE, WAFFY,
94422, BUTTER CHICKEN, SLICE, CHE SANDWICH,
115531, PULPY ORANGE, CHE SANDWICH,
84672, VEG PATTY, PULPY ORANGE,
114531, MASALA DOSA, VEG RICE, COKE MIX,
115915, CHE SANDWICH, COKE MIX,
79072, CHI.RICE, FRUIT SHAKE,
79079, FRIED MAGGI, FRUIT SHAKE,
84181, FRUIT SHAKE, CHE SANDWICH,
85843, VEG RICE, COKE CAN,
111414, VEG PATTY, PANEER FRANKY,
80042, LAYS / BINGO, CHE BURGER,
82102, BUTTER NAAN, BUTTER CHICKEN,
90247, CHI.RICE, ICECREAMSHAKE,
109318, CHI.RICE, LAYS / BINGO,
112888, LAYS / BINGO, CHE BURGER,
114150, BUTTER NAAN, BUTTER CHICKEN,
115958, BUTTER NAAN, BUTTER CHICKEN,
75456, OREO@30, PEPSI MIX,
78659, FRUIT SHAKE, PEPSI MIX,
81952, FRUIT SHAKE, PEPSI MIX,
83630, ICECREAMSHAKE, CHE SANDWICH,
113426, FRUIT SHAKE, CHE SANDWICH, COKE MIX,
81897, CHI.PAKODA, FRUIT SHAKE,
109278, D.MILK, FRUIT SHAKE,
111973, VEG PATTY, VEG RICE, FRUIT SHAKE, ALOO PARATHA, CHE SANDWICH,
111982, BUTTER NAAN, KADAI PANEER,
88589, CHI.RICE, CHI.RICE,
95010, PLAIN MAGGI, FRUIT SHAKE,
96281, FRUIT SHAKE, CHE SANDWICH,
98094, FRUIT SHAKE, CHE BURGER,
111764, FRUIT SHAKE, PANEER FRANKY,
94406, LAYS / BINGO, BOURBON, REAL JUICE,
98086, LAYS / BINGO, CAPRI SUN,
100493, CHE SANDWICH, BRT CAKES,
87867, LAYS / BINGO, LITTLE HEARTS, ICE,
93239, ICECREAMSHAKE, PEPSI MIX,
79803, BUTTER NAAN, BUTTER CHICKEN,
83181, LAYS / BINGO, COKE CAN,
99335, COKE MIX, COKE MIX, COKE MIX,
107424, FRUIT SHAKE, CHE SANDWICH,
80183, FRUIT SHAKE, CHE BURGER,
84965, BUTTER NAAN, CHILLI PANEER, LAYS / BINGO, PULPY ORANGE, FRUIT SHAKE,
75136, ICECREAMSHAKE, CHE SANDWICH,
95556, FRUIT SHAKE, CHOCO PIE,
98977, VEG RICE, PULPY ORANGE,
115913, IDLY SAMBHAR, CHE SANDWICH,
80526, CHE BURGER, PANEER FRANKY,
83841, CHE SANDWICH, PANEER FRANKY,
83930, LAYS / BINGO, PULPY ORANGE, MY CAN,
85306, PLAIN MAGGI, PULPY ORANGE, CHE BURGER,
86887, PULPY ORANGE, CHE SANDWICH,
90859, PULPY ORANGE, CHE SANDWICH,
105768, CHE SANDWICH, PANEER FRANKY,
105843, LAYS / BINGO, BOURBON,
93315, BUTTER CHICKEN, FRUIT SHAKE, PLAIN NAAN,
95843, BOURBON, ICECREAMSHAKE,
101929, BUTTER NAAN, BUTTER CHICKEN,
75251, CHE SANDWICH, BRT CAKES,
78674, GOODAY@20, LITTLE HEARTS,
80068, GOODAY@20, KAJU SHAKE,
82015, FIVE STAR@20, BRT CAKES,
85086, PEPSI MIX, CHE BURGER,
85802, FIVE STAR@20, ALOO PARATHA,
85919, ALOO PARATHA, BUTTER,
88997, ALOO PARATHA, BUTTER,
91015, ALOO PARATHA, BUTTER,
92872, KADAI PANEER, ALOO PARATHA, BUTTER,
95022, ALOO PARATHA, BUTTER,
95042, CHE SANDWICH, COKE MIX,
96408, ALOO PARATHA, BUTTER,
98081, ALOO PARATHA, BUTTER,
105521, FIVE STAR@20, COKE MIX,
114516, MASALA DOSA, BRT. CAKE,
75929, ALOO PARATHA, MY CAN,
77731, GOODAY@20, LITTLE HEARTS,
94945, ALOO PARATHA, MY CAN,
97388, ALOO PARATHA, BUTTER,
99640, ALOO PARATHA, BUTTER,
101355, ALOO PARATHA, BUTTER,
102051, LITTLE HEARTS, BRT CAKES,
111618, FRUIT SHAKE, ALOO PARATHA, BUTTER,
113770, ALOO PARATHA, BUTTER,
116452, FRUIT SHAKE, IDLY SAMBHAR,
81776, BUTTER NAAN, BUTTER CHICKEN, PULPY ORANGE,
83499, BUTTER NAAN, BUTTER CHICKEN, PULPY ORANGE,
90442, BUTTER NAAN, BUTTER CHICKEN,
92102, COKE MIX, PLAIN NAAN,
115723, CHI.RICE, PULPY ORANGE,
91212, LAYS / BINGO, COKE CAN,
92123, FRUIT SHAKE, COKE MIX,
75133, CHILLI PANEER, ICECREAMSHAKE,
78480, PULPY ORANGE, PEPSI MIX,
80053, PEPSI MIX, ICE, CHE BURGER,
94525, VEG RICE, PEPSI MIX,
100586, FRUIT SHAKE, CHE SANDWICH,
110657, FRIED MAGGI, PULPY NIMBU,
110684, FRUIT SHAKE, ALOO PARATHA, PANEER FRANKY,
110686, ICECREAMSHAKE, ALOO PARATHA, PANEER FRANKY,
111042, VEG RICE, REAL JUICE,
79486, GOODAY@20, PULPY ORANGE,
81515, BUTTER NAAN, ICECREAMSHAKE,
81554, OREO@30, PULPY ORANGE, CHE SANDWICH,
83681, PULPY ORANGE, CHE SANDWICH,
84878, OREO@30, PULPY ORANGE,
87005, VEG PATTY, PULPY ORANGE,
93936, BUTTER NAAN, CHILLI PANEER,
93993, OREO@15, REAL JUICE,
99843, VEG PATTY, PULPY ORANGE,
100867, FRIED IDLY, CHE SANDWICH,
103984, REAL JUICE, CHE BURGER,
77306, FALUDA KULFI, ALOO PARATHA, CHE SANDWICH,
77355, LAYS / BINGO, GOODAY@20, COKE MIX,
77385, ICE, CHE SANDWICH,
83654, FALUDA KULFI, ALOO PARATHA,
88866, ALOO PARATHA, ICE, CHE SANDWICH,
88917, PEPSI MIX, ICE,
89942, LAYS / BINGO, GOODAY@20,
91250, COKE CAN, FALUDA KULFI, ALOO PARATHA, CHE SANDWICH,
93666, VEG PATTY, LAYS / BINGO, ALOO PARATHA,
93744, PEPSI MIX, WAFFY,
103539, VEG PATTY, LAYS / BINGO, ALOO PARATHA,
103570, ALOO PARATHA, COKE MIX,
105246, FRIED MAGGI, FALUDA KULFI,
105257, FRIED MAGGI, LAYS / BINGO,
77568, CHILLI CHICKEN, MY CAN,
79068, PEPSI MIX, CHE SANDWICH,
79527, FRUIT SHAKE, CHOCO PIE,
79649, CHILLI CHICKEN, PANEER FRANKY,
82500, BOURBON, CHE SANDWICH,
83353, EGG RICE, SLICE,
86175, COKE CAN, YAMAMA,
91360, MY CAN, CHE SANDWICH, COKE MIX,
93294, LAYS / BINGO, PEPSI MIX,
95257, PLAIN MAGGI, MY CAN,
96965, COKE CAN, YAMAMA,
98799, CHILLI CHICKEN, COKE CAN, ICECREAMSHAKE,
102885, LAYS / BINGO, CHE SANDWICH, COKE MIX,
112969, MASALA DOSA, COKE CAN, CHE BURGER,
114916, LAYS / BINGO, FRUIT SHAKE,
83690, CHI.PAKODA, FRUIT SHAKE,
86203, PLAIN MAGGI, PULPY ORANGE,
100987, FRUIT SHAKE, ALOO PARATHA, BUTTER,
101078, FRUIT SHAKE, CHE SANDWICH,
102820, CHI.PAKODA, IDLY SAMBHAR, COKE MIX,
107215, FRUIT SHAKE, PANEER FRANKY,
107873, CHILLI PANEER, FRUIT SHAKE,
110797, CHI.TANDURY 1/2, FRUIT SHAKE,
114976, DAIRY MILK, FRUIT SHAKE,
80654, CHI.RICE, ALOO PARATHA,
89095, CHE SANDWICH, BRT CAKES,
90468, BUTTER NAAN, BUTTER CHICKEN,
91857, LAYS / BINGO, MAKHANIA LASSI,
95461, VEG PATTY, MAKHANIA LASSI,
96947, CHI.RICE, ALOO PARATHA,
96979, PLAIN MAGGI, GOODAY@10,
107176, FRUIT SHAKE, DARK FANTASY,
113487, LAYS / BINGO, BRT. CAKE,
113491, LAYS / BINGO, PULPY ORANGE, COKE MIX,
113504, VEG PATTY, PULPY ORANGE, ALOO PARATHA,
113513, VEG PATTY, COKE MIX,
113515, VEG PATTY, LAYS / BINGO,
114760, LAYS / BINGO, BOURBON,
116573, CHI.RICE, OREO@30, CHE SANDWICH,
80030, LAYS / BINGO, CHE BURGER,
90058, VEG PASTA, LAYS / BINGO,
103944, MAKHANIA LASSI, MATKA KULFI,
106653, PULPY ORANGE, ICE,
107733, BRT. CAKE, CHE BURGER,
77304, FRUIT SHAKE, CHE SANDWICH,
77308, CHILLI CHICKEN, COKE MIX,
77414, CHOCO PIE, COKE MIX,
80422, FRUIT SHAKE, COKE MIX,
85863, CHE SANDWICH, COKE MIX,
103300, LAYS / BINGO, COKE CAN, CHE SANDWICH,
114202, CHOCO PIE, CHE SANDWICH,
89469, FRUIT SHAKE, CHE SANDWICH,
116469, PLAIN MAGGI, FRUIT SHAKE,
84466, FRUIT SHAKE, WAFFY,
93845, FALUDA KULFI, ALOO PARATHA,
95303, VEG RICE, CHE SANDWICH,
99139, LAYS / BINGO, PULPY ORANGE, CHE SANDWICH, COKE MIX,
100304, BUTTER NAAN, BUTTER CHICKEN, PULPY ORANGE, CHE SANDWICH,
103720, MATKA KULFI, PANEER FRANKY,
108381, VEG PATTY, COKE MIX,
78508, PULPY ORANGE, FRUIT SHAKE, CHE SANDWICH,
79907, LAYS / BINGO, PULPY ORANGE, FRUIT SHAKE, CHE SANDWICH,
85102, PULPY ORANGE, FRUIT SHAKE, CHE BURGER,
103756, DARK FANTASY, CHE BURGER,
98899, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE, CHE SANDWICH,
75278, LITTLE HEARTS, CHE SANDWICH,
94568, LAYS / BINGO, CHE SANDWICH,
96387, LAYS / BINGO, LITTLE HEARTS, PANEER FRANKY,
105381, FRUIT SHAKE, PANEER FRANKY,
115060, LAYS / BINGO, LITTLE HEARTS, ALOO PARATHA,
92222, OREO@15, CHE BURGER, CHE BURGER,
95483, LAYS / BINGO, FRUIT SHAKE,
97432, LAYS / BINGO, GOODAY@10,
99106, ALOO PARATHA, CHOCO PIE,
102835, LAYS / BINGO, CHE SANDWICH,
106848, LAYS / BINGO, BOURBON, DARK FANTASY,
76967, FRUIT SHAKE, CHE SANDWICH,
81816, SLICE, PANEER FRANKY,
88982, CHE SANDWICH, COKE MIX,
91459, SLICE, CHE SANDWICH,
95467, VEG PATTY, ALOO PARATHA, PEPSI MIX,
98197, PULPY ORANGE, ALOO PARATHA,
115020, LAYS / BINGO, FRUIT SHAKE, FRUIT SHAKE,
116192, PULPY ORANGE, IDLY SAMBHAR,
79533, LAYS / BINGO, LAYS / BINGO, FRUIT SHAKE, WAFFY,
83392, ICE, CHE SANDWICH,
106882, FRIED MAGGI, LAYS / BINGO, PANEER FRANKY,
106927, PULPY ORANGE, CHE SANDWICH,
109048, FRUIT SHAKE, CHOCO PIE,
78004, CHILLI CHICKEN, FRUIT SHAKE,
78057, VEG PATTY, ALOO PARATHA,
78835, PLAIN MAGGI, PANEER FRANKY,
80898, FRUIT SHAKE, CHE SANDWICH,
80920, CHI.PAKODA, COKE MIX,
82733, PLAIN MAGGI, MY CAN,
84326, FRUIT SHAKE, CHE SANDWICH,
85238, FRUIT SHAKE, CHE BURGER,
87259, ALOO PARATHA, CHE SANDWICH,
94624, FRUIT SHAKE, PANEER FRANKY,
95752, BUTTER NAAN, CHILLI CHICKEN,
95918, FIVE STAR@20, COKE MIX,
77436, PEPSI MIX, CHE SANDWICH,
98976, ICECREAMSHAKE, WAFFY,
100496, BUTTER NAAN, BUTTER CHICKEN, COKE CAN, CHE SANDWICH,
100705, COKE MIX, WAFFY,
105851, ICECREAMSHAKE, COKE MIX,
109314, FRIED MAGGI, PULPY ORANGE, CHE SANDWICH,
112402, VEG PATTY, CHE SANDWICH,
91894, KADAI PANEER, PLAIN NAAN,
91973, FALUDA KULFI, CHE BURGER,
105043, PLAIN MAGGI, PANEER FRANKY,
76189, ALOO PARATHA, MAKHANIA LASSI, CHE SANDWICH,
79040, MAKHANIA LASSI, CHE SANDWICH,
80533, MAKHANIA LASSI, CHE BURGER, PANEER FRANKY,
82309, MAKHANIA LASSI, CHE SANDWICH,
82312, KAJU SHAKE, CHE SANDWICH,
82386, OREO@30, BRT CAKES, PANEER FRANKY,
83720, BRT CAKES, COKE MIX,
86597, ALOO PARATHA, MAKHANIA LASSI,
89021, ALOO PARATHA, MAKHANIA LASSI,
92895, PEPSI MIX, REAL JUICE, MAKHANIA LASSI,
92932, VEG PATTY, VEG PATTY, ICECREAMSHAKE, PLAIN NAAN,
93842, ALOO PARATHA, MAKHANIA LASSI,
95405, ALOO PARATHA, MAKHANIA LASSI,
98796, BUTTER NAAN, KADAI PANEER, ICECREAMSHAKE,
98798, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE,
98800, ALOO PARATHA, MAKHANIA LASSI,
103135, KAJU SHAKE, MATKA KULFI,
111778, ALOO PARATHA, KAJU SHAKE,
112957, ALOO PARATHA, REAL JUICE,
116029, FRUIT SHAKE, ALOO PARATHA,
78555, FRUIT SHAKE, CHE SANDWICH,
85452, ICECREAMSHAKE, ICE, CHE BURGER,
94341, FRUIT SHAKE, ICE, CHE SANDWICH,
95602, BUTTER NAAN, KADAI PANEER,
